"COURSE_ID","COURSE_NAME","SESSION_ID","DEPARTMENT_ID"
190,"PRINCIPLES OF ACCOUNTING",100,10
191,"INTRODUCTION TO BUSINESS LAW",100,10
192,"COST ACCOUNTING",100,10
193,"STRATEGIC TAX PLANNING FOR BUSINESS",100,10
194,"GENERAL BIOLOGY",200,20
195,"CELL BIOLOGY",200,20
196,"INTRODUCTION TO PLANT PHYSIOLOGY",200,20
197,"MARINE BIOLOGY",200,20
198,"SIMULATION AND MODELING",300,30
199,"WEB PROGRAMMING",300,30
187,"DATA STRUCTURES",300,30
188,"OOAD",300,30
189,"COLLEGE READING",100,40
176,"BUSINESS WRITING",200,40
175,"AMERICAN LITERATURE",300,40
